ID_Cliente,Edad,Categoria,Precio,Calificacion,Texto_Resena,Fecha_Compra,Recomendado,Departamento,Tipo_Envio
1000,,Chaquetas,39.76,5,,2023-04-13,1,Ropa Mujer,Estándar
1001,36.0,Vestidos,131.93,4,"Totalmente recomendado, me queda perfecto.",2023-05-30,1,Deportes,Express
1002,19.0,Chaquetas,43.67,2,"Mala calidad, costuras sueltas.",2023-06-10,0,Ropa Hombre,Estándar
1003,29.0,Pantalones,15.95,1,El envío tardó demasiado y llegó dañado.,2023-02-28,0,Ropa Hombre,Estándar
1004,59.0,Chaquetas,64.46,4,Muy cómodo y elegante para la oficina.,2023-02-20,1,Niños,Estándar
1005,61.0,Chaquetas,78.01,5,"Superó mis expectativas, volveré a comprar.",2023-11-25,1,Niños,Estándar
1006,56.0,Pantalones,142.2,4,Excelente calidad y envío rápido.,2023-09-22,1,Niños,Express
1007,43.0,Accesorios,107.37,4,El color es vibrante y el diseño hermoso.,2023-09-21,1,Ropa Hombre,Express
1008,64.0,Vestidos,67.79,2,"Talla incorrecta, es demasiado pequeño.",2023-01-02,0,Ropa Hombre,Estándar
1009,23.0,Pantalones,39.96,5,Excelente calidad y envío rápido.,2023-02-13,1,Niños,Estándar
1010,51.0,Pantalones,140.1,5,Muy cómodo y elegante para la oficina.,2023-08-03,1,Ropa Hombre,Express
1011,57.0,Accesorios,115.89,4,Excelente calidad y envío rápido.,2023-08-05,1,Niños,Express
1012,62.0,Blusas,123.3,1,"La tela es muy mala, se rompió enseguida.",2023-12-10,0,Ropa Mujer,Express
1013,18.0,Chaquetas,15.75,5,"Me encanta este producto, la tela es suave.",2023-06-12,1,Niños,Estándar
1014,52.0,Blusas,25.0,3,"Está bien, pero esperaba algo mejor.",2023-05-15,1,Deportes,Estándar
1015,26.0,Chaquetas,27.88,3,La talla es correcta pero el color varía.,2023-10-20,1,Ropa Hombre,Estándar
1016,52.0,Chaquetas,52.09,4,"Totalmente recomendado, me queda perfecto.",2023-04-11,1,Niños,Estándar
1017,64.0,Vestidos,112.43,3,La talla es correcta pero el color varía.,2023-10-10,0,Ropa Mujer,Express
1018,26.0,Pantalones,74.31,3,"Llegó a tiempo, calidad aceptable.",2023-08-29,0,Ropa Hombre,Estándar
1019,69.0,Accesorios,108.89,2,"Mala calidad, costuras sueltas.",2023-05-23,0,Niños,Express
1020,60.0,Accesorios,142.29,4,"Totalmente recomendado, me queda perfecto.",2023-03-27,1,Niños,Express
1021,45.0,Pantalones,124.1,4,Muy cómodo y elegante para la oficina.,2023-10-11,1,Ropa Hombre,Express
1022,45.0,Chaquetas,71.23,5,Excelente calidad y envío rápido.,2023-12-14,1,Niños,Estándar
1023,42.0,Blusas,45.77,4,El color es vibrante y el diseño hermoso.,2023-08-21,1,Ropa Mujer,Estándar
1024,20.0,Vestidos,80.45,4,Excelente calidad y envío rápido.,2023-06-21,1,Ropa Mujer,Express
1025,41.0,Vestidos,44.53,4,El color es vibrante y el diseño hermoso.,2023-04-23,1,Ropa Hombre,Estándar
1026,66.0,Pantalones,48.33,4,"Totalmente recomendado, me queda perfecto.",2023-04-23,1,Niños,Estándar
1027,54.0,Blusas,19.98,4,Excelente calidad y envío rápido.,2023-08-08,1,Niños,Estándar
1028,40.0,Accesorios,137.62,3,La talla es correcta pero el color varía.,2023-06-21,0,Niños,Express
1029,43.0,Chaquetas,117.82,3,"Producto promedio, cumple su función.",2023-10-07,1,Deportes,Express
1030,22.0,Chaquetas,100.53,4,"Me encanta este producto, la tela es suave.",2023-07-20,1,Ropa Hombre,Express
1031,23.0,Accesorios,94.77,4,"Totalmente recomendado, me queda perfecto.",2023-12-12,1,Deportes,Express
1032,20.0,Vestidos,102.1,2,"La tela es muy mala, se rompió enseguida.",2023-05-08,0,Niños,Express
1033,56.0,Pantalones,33.57,3,"Está bien, pero esperaba algo mejor.",2023-05-31,1,Niños,Estándar
1034,48.0,Pantalones,45.85,2,"La tela es muy mala, se rompió enseguida.",2023-03-01,0,Deportes,Estándar
1035,66.0,Pantalones,27.57,5,"Superó mis expectativas, volveré a comprar.",2023-06-09,1,Ropa Mujer,Estándar
1036,26.0,Blusas,109.55,5,El color es vibrante y el diseño hermoso.,2023-06-01,1,Deportes,Express
1037,50.0,Chaquetas,141.31,5,El color es vibrante y el diseño hermoso.,2023-09-11,1,Deportes,Express
1038,52.0,Blusas,146.44,3,La talla es correcta pero el color varía.,2023-07-13,1,Deportes,Express
1039,52.0,Accesorios,38.75,1,"No lo recomiendo, muy caro para lo que es.",2023-10-04,0,Ropa Mujer,Estándar
1040,65.0,Chaquetas,102.7,5,"Me encanta este producto, la tela es suave.",2023-05-08,1,Niños,Express
1041,50.0,Chaquetas,64.64,3,La talla es correcta pero el color varía.,2023-02-07,1,Deportes,Estándar
1042,55.0,Accesorios,135.43,4,Excelente calidad y envío rápido.,2023-10-04,1,Deportes,Express
1043,47.0,Blusas,105.3,5,El color es vibrante y el diseño hermoso.,2023-11-13,1,Niños,Express
1044,65.0,Vestidos,18.28,4,"Me encanta este producto, la tela es suave.",2023-06-21,1,Niños,Estándar
1045,45.0,Accesorios,138.51,3,"Está bien, pero esperaba algo mejor.",2023-10-07,0,Ropa Hombre,Express
1046,46.0,Blusas,145.5,5,"Me encanta este producto, la tela es suave.",2023-04-26,1,Ropa Hombre,Express
1047,38.0,Blusas,80.51,3,La talla es correcta pero el color varía.,2023-02-23,0,Niños,Express
1048,20.0,Pantalones,105.6,3,"Producto promedio, cumple su función.",2023-09-30,0,Niños,Express
1049,57.0,Blusas,109.84,3,"Está bien, pero esperaba algo mejor.",2023-09-04,1,Ropa Mujer,Express
1050,43.0,Vestidos,132.05,5,,2023-11-09,1,Ropa Hombre,Express
1051,53.0,Accesorios,102.75,5,Muy cómodo y elegante para la oficina.,2023-05-23,1,Niños,Express
1052,45.0,Pantalones,74.19,4,"Totalmente recomendado, me queda perfecto.",2023-06-02,1,Ropa Hombre,Estándar
1053,39.0,Pantalones,19.12,1,"No lo recomiendo, muy caro para lo que es.",2023-09-28,0,Ropa Hombre,Estándar
1054,60.0,Chaquetas,85.5,5,El color es vibrante y el diseño hermoso.,2023-04-18,1,Ropa Mujer,Express
1055,22.0,Chaquetas,21.98,4,"Totalmente recomendado, me queda perfecto.",2023-11-07,1,Ropa Hombre,Estándar
1056,57.0,Chaquetas,146.74,4,Muy cómodo y elegante para la oficina.,2023-05-27,1,Niños,Express
1057,34.0,Vestidos,115.45,3,La talla es correcta pero el color varía.,2023-11-14,0,Niños,Express
1058,40.0,Blusas,70.21,2,"La tela es muy mala, se rompió enseguida.",2023-08-27,0,Niños,Estándar
1059,51.0,Blusas,141.17,4,"Superó mis expectativas, volveré a comprar.",2023-07-11,1,Niños,Express
1060,22.0,Accesorios,21.44,4,"Totalmente recomendado, me queda perfecto.",2023-03-27,1,Deportes,Estándar
1061,46.0,Chaquetas,27.71,3,La talla es correcta pero el color varía.,2023-07-23,1,Ropa Mujer,Estándar
1062,33.0,Pantalones,81.37,4,"Me encanta este producto, la tela es suave.",2023-09-11,1,Ropa Hombre,Express
1063,47.0,Accesorios,21.49,5,El color es vibrante y el diseño hermoso.,2023-10-17,1,Deportes,Estándar
